รหัส,รายการ,รายละเอียด
G1013,งผด งทก มาตรา 13,งบแผ่นดิน งบทำการ มาตรา 13
G1491,งผด งทก มาตรา 49 (1),งบทำการ มาตรา 49 (1)
G1492,งผด งทก มาตรา 49(2),งบทำการ มาตรา 49(2)
G1493,งผด งทก มาตรา 49(3),งบทำการ มาตรา 49(3)
G1494,งผด งทก มาตรา 49(4),งบทำการ มาตรา 49(4)
G1495,งผด งทก มาตรา 49 (5),งบทำการ มาตรา 49 (5)
G1496,งผด งทก มาตรา 49(6),งบทำการ มาตรา 49(6)
G2013,งผด งลท มาตรา 13,งบลงทุน มาตรา 13
G2491,งผด งลท มาตรา 49 (1),งบลงทุน มาตรา 49 (1)
G2492,งผด งลท มาตรา 49(2),งบลงทุน มาตรา 49(2)
G2493,งผด งลท มาตรา 49(3),งบลงทุน มาตรา 49(3)
G2494,งผด งลท มาตรา 49(4),งบลงทุน มาตรา 49(4)
G2495,งผด งลท มาตรา 49 (5),งบลงทุน มาตรา 49 (5)
G2496,งผด งลท มาตรา 49(6),งบลงทุน มาตรา 49(6)
R1013,กยท งทก มาตรา 13,งบทำการ มาตรา 13
R1491,กยท งทก มาตรา 49 (1),งบทำการ มาตรา 49 (1)
R1492,กยท งทก มาตรา 49(2),งบทำการ มาตรา 49(2)
R1493,กยท งทก มาตรา 49(3),งบทำการ มาตรา 49(3)
R1494,กยท งทก มาตรา 49(4),งบทำการ มาตรา 49(4)
R1495,กยท งทก มาตรา 49 (5),งบทำการ มาตรา 49 (5)
R1496,กยท งทก มาตรา 49 (6),งบทำการ มาตรา 49 (6)
R2013,กยท งลท มาตรา 13,งบลงทุน มาตรา 13
R2491,กยท งลท มาตรา 49 (1),งบลงทุน มาตรา 49 (1)
R2492,กยท งลท มาตรา 49(2),งบลงทุน มาตรา 49(2)
R2493,กยท งลท มาตรา 49(3),งบลงทุน มาตรา 49(3)
R2494,กยท งลท มาตรา 49(4),งบลงทุน มาตรา 49(4)
R2495,กยท งลท มาตรา 49 (5),งบลงทุน มาตรา 49 (5)
R2496,กยท งลท มาตรา 49 (6),งบลงทุน มาตรา 49 (6)
