id_ph_gt,name_ph_gt
100,กยท
101,กยท.สนญ.
102,สำนักผู้ว่าการ
103,กองกลาง
104,กองการประชุม
105,กองประชาสัมพันธ์แล
106,กองกิจการต่างประเท
107,กองกำกับดูแลกิจการ
108,สำนักตรวจสอบภายใน
109,กองตรวจสอบกระบวนกา
110,กองตรวจสอบกระบวนกา
111,กองตรวจสอบหน่วยงาน
112,กองพัฒนาและสนับสนุ
113,กองตรวจสอบ 1
114,กองตรวจสอบ 2
115,กองตรวจสอบ 3
116,ฝ่ายกฎหมาย
117,กองนิติกรรมและสัญญ
118,กองคดีและบังคับคดี
119,กองสิทธิประโยชน์
120,กองนิติกรรมสัญญาแล
121,กองทรัพย์สินทางปัญ
122,กองคดีและบังคับคดี
123,กองคดีและบังคับคดี
124,ฝ่ายการคลัง
125,กองงบประมาณ
126,กองการเงิน
127,กองตรวจจ่าย
128,กองบัญชี
129,กองจัดเก็บค่าธรรมเ
130,ฝ่ายทรัพยากรมนุษย์
131,กองพัฒนาระบบงานและ
132,กองการเจ้าหน้าที่
133,กองค่าตอบแทนและสวั
134,กองวินัยและแรงงานส
135,กองพัฒนาระบบสมรรถน
136,กองฝึกอบรม
137,ฝ่ายเทคโนโลยีสารสน
138,กองปฏิบัติการคอมพิ
139,กองพัฒนาระบบงานและ
140,กองพัฒนาระบบสื่อสา
141,กองแผนงานและฐานข้อ
142,กองระบบคอมพิวเตอร์
143,กองพัฒนาระบบงานและ
144,กองพัฒนาระบบงานและ
145,ฝ่ายบริหารทรัพย์สิ
146,กองบริหารจัดซื้อจั
147,กองบริหารสัญญา
148,กองคลังพัสดุ สถานท
149,กองบริหารทรัพย์สิน
150,สำรองคลัง
151,สำรองคลังรอจำหน่าย
152,กองบริหารพัสดุ
153,กองจัดการทรัพย์สิน
154,ฝ่ายพัฒนาเกษตรกรแล
155,กองสวัสดิการเกษตรก
156,กองส่งเสริมเกษตรกร
157,กองส่งเสริมและพัฒน
158,กองทะเบียน
159,กองบริหารกองทุนและ
160,ฝ่ายยุทธศาสตร์องค์
161,กองนโยบายและแผน
162,กองโครงการพิเศษ
163,กองประเมินผล
164,กองบริหารความเสี่ย
165,ฝ่ายส่งเสริมและพัฒ
166,กองแผนงานและวิชากา
167,กองส่งเสริมการปลูก
168,กองผลิตและขยายพันธ
169,กองวิชาการและถ่ายท
170,กองถ่ายทอดเทคโนโลย
171,กองส่งเสริมมาตรฐาน
172,กองพัฒนาผลผลิต
173,ฝ่ายเศรษฐกิจยาง
174,กองวิจัยเศรษฐกิจยา
175,กองโลจิสติกส์
176,กองพัฒนาการตลาดและ
177,กองรักษาเสถียรภาพย
178,กองพัฒนาการตลาดยาง
179,สตก.จ.ระยอง
180,สตก.จ.เชียงราย
181,ชุมพร
182,หน่วยกํากับดูแลการ
183,ฝ่ายอุตสาหกรรมยาง
184,กองวิจัยอุตสาหกรรม
185,กองมาตรฐานอุตสาหกร
186,กองส่งเสริมและสนับ
187,ศูนย์บริการทดสอบรั
188,ศูนย์บริการทดสอบรั
189,ศูนย์บริการทดสอบรั
190,สถาบันวิจัยยาง
191,กองบริหารงานวิจัย
192,กองวิจัยและพัฒนากา
193,ศวย.ฉะเชิงเทรา
194,ศวย.หนองคาย
195,ศวย.บุรีรัมย์
196,ศวย.สุราษฎร์ธานี
197,ศวย.สงขลา
198,หน่วยธุรกิจ
199,หน่วยกํากับดูแลการ
200,กยท.เขตภาคเหนือ
201,กยท.จ.เชียงใหม่
202,กยท.ส.ลำพูน
203,กยท.ส.ลำปาง
204,กยท.ส.แม่ฮ่องสอน
205,กยท.จ.แพร่
206,กยท.ส.อุตรดิตถ์
207,กยท.จ.น่าน
208,กยท.จ.พะเยา
209,กยท.จ.เชียงราย
210,กยท.ส.เมืองเชียงรา
211,กยท.ส.เชียงของ
212,กยท.จ.ตาก
213,กยท.จ.กำแพงเพชร
214,กยท.ส.สุโขทัย
215,กยท.จ.พิษณุโลก
216,กยท.ส.พิจิตร
217,กยท.ส.เพชรบูรณ์
218,กยท.เขตอีสานตอนบน
219,กองจัดการโรงงาน5
220,กองจัดการโรงงาน6
221,สตก.จ.หนองคาย
222,กยท.จ.บึงกาฬ
223,กยท.ส.เมืองบึงกาฬ
224,กยท.ส.เซกา
225,กยท.จ.หนองบัวลำภู
226,กยท.จ.ขอนแก่น
227,ศรย.ขอนแก่น
228,กยท.จ.อุดรธานี
229,กยท.จ.เลย
230,กยท.ส.เมืองเลย
231,กยท.ส.วังสะพุง
232,กยท.จ.หนองคาย
233,กยท.จ.กาฬสินธุ์
234,กยท.จ.สกลนคร
235,กยท.จ.นครพนม
236,ศรย.นครพนม
237,กยท.จ.มุกดาหาร
238,กยท.เขตอีสานตอนล่า
239,กองจัดการโรงงาน4
240,สตก.จ.บุรีรัมย์
241,กยท.จ.นครราชสีมา
242,กยท.สาขาชัยภูมิ
243,กยท.จ.บุรีรัมย์
244,กยท.ส.เมืองบุรีรัม
245,กยท.ส.บ้านกรวด
246,กยท.จ.สุรินทร์
247,กยท.จ.ศรีสะเกษ
248,กยท.ส.เมืองศรีสะเก
249,กยท.ส.กันทรลักษ์
250,กยท.จ.อุบลราชธานี
251,กยท.ส.เมืองอุบลราช
252,กยท.ส.เดชอุดม
253,กยท.จ.ยโสธร
254,กยท.ส.อำนาจเจริญ
255,กยท.จ.ร้อยเอ็ด
256,กยท.เขตกลาง/ตะวันอ
257,กยท.จ.ระยอง
258,กยท.ส.เมืองระยอง
259,กยท.ส.แกลง
260,กยท.จ.จันทบุรี
261,กยท.จ.ตราด
262,กยท.จ.ฉะเชิงเทรา
263,กยท.ส.สระแก้ว
264,กยท.จ.อุทัยธานี
265,กยท.ส.นครสวรรค์
266,กยท.จ.กาญจนบุรี
267,กยท.เขตภาคใต้ตอนบน
268,สตก.จ.สุราษฏร์ธานี
269,กยท.จ.ประจวบคีรีขั
270,กยท.จ.สุราษฎร์ธานี
271,กยท.ส.เมืองสุราษฏร
272,กยท.ส.คีรีรัฐนิคม
273,กยท.ส.ไชยา
274,กยท.ส.บ้านนาสาร
275,กยท.ส.พระแสง
276,กยท.ส.เวียงสระ
277,กยท.ส.เคียนซา
278,กยท.จ.ระนอง
279,กยท.จ.ยโสธร
280,กยท.ส.เมืองชุมพร
281,กยท.ส.ปะทิว
282,กยท.ส.ท่าแซะ
283,กยท.เขตภาคใต้ตอนกล
284,กองจัดการโรงงาน 1
285,กองจัดการโรงงาน 2
286,กองจัดการโรงงาน 3
287,สตก.จ.นครศรีธรรมรา
288,กองจัดการสวนยาง 1
289,กองจัดการสวนยาง 2
290,กองจัดการสวนยาง 3
291,กองจัดการ รง ไม้ยา
292,กยท.จ.นครศรีฯ
293,กยท.ส.เมืองนครศรีฯ
294,กยท.ส.ทุ่งสง
295,กยท.ส.ฉวาง
296,กยท.ส.ร่อนพิบูลย์
297,กยท.ส.ท่าศาลา
298,กยท.ส.นาบอน
299,ศรย.นครศรีธรรมราช
300,กยท.จ.กระบี่
301,กยท.ส.เมืองกระบี่
302,กยท.ส.เขาพนม
303,กยท.ส.คลองท่อม
304,ศรย.กระบี่
305,กยท.จ.พังงา
306,กยท.ส.เมืองพังงา
307,กยท.ส.ท้ายเหมือง
308,กยท.จ.ภูเก็ต
309,กยท.จ.ตรัง
310,กยท.ส.เมืองตรัง
311,กยท.ส.ห้วยยอด
312,กยท.สาขากันตัง
313,กยท.ส.ย่านตาขาว
314,กยท.ส.ปะเหลียน
315,กยท.ส.สิเกา
316,กยท.จ.พัทลุง
317,กยท.ส.เมืองพัทลุง
318,กยท.ส.ควนขนุน
319,กยท.ส.ป่าบอน
320,กยท.ส.บางแก้ว
321,ศรย.พัทลุง
322,กยท.เขตภาคใต้ตอนล่
323,สตก.จ.สงขลา
324,สตก.จ.ยะลา
325,กยท.จ.สงขลา
326,กยท.ส.เมืองสงขลา
327,กยท.ส.หาดใหญ่
328,กยท.ส.สะเดา
329,กยท.ส.รัตภูมิ
330,กยท.ส.เทพา
331,กยท.ส.นาทวี
332,กยท.ส.จะนะ
333,กยท.ส.สะบ้าย้อย
334,กยท.ส.คลองหอยโข่ง
335,กยท.จ.สตูล
336,กยท.ส.เมืองสตูล
337,กยท.ส.ละงู
338,กยท.จ.ปัตตานี
339,กยท.ส.เมืองปัตตานี
340,กยท.ส.โคกโพธิ์
341,กยท.ส.สายบุรี
342,กยท.จ.ยะลา
343,กยท.ส.เมืองยะลา
344,กยท.ส.เบตง
345,กยท.ส.บันนังสตา
346,กยท.ส.ยะหา
347,กยท.ส.รามัน
348,กยท.จ.นราธิวาส
349,กยท.ส.เมืองนราธิวา
350,กยท.ส.ระแงะ
351,กยท.ส.รือเสาะ
352,กยท.ส.สุไหงโกลก
